"befnr","StartYear","industry_category","LegalForm","Location","FollowerBusiness","IndAffBusiness","EmployeeNum","CompanyEndYear","YearsWorkExperience","YearsSchooling","CapitalInvested","GenSpeBusiness","TradInnoBusiness","MarketScope","CompetitionIntensity","Seasonality","OrderClusters","IndustryExperience","FounderFather","beg1","beg2","beg3","beg4","beg5","beg6","beg7","beg8","beg9","beg10","beg11","beg12","beg13","beg14","beg15","beg16","beg17","beg18","beg19","beg20","end1","end2","end3","end4","end5","end6","end7","end8","end9","end10","end11","end12","end13","end14","end15","end16","end17","end18","end19","end20","typ1","typ2","typ3","typ4","typ5","typ6","typ7","typ8","typ9","typ10","typ11","typ12","typ13","typ14","typ15","typ16","typ17","WorkExperienceYears","SelfEmploymentYears","SelfEmploymentExp","EndYear_Clean","Censored","SurvivalTime","SurvivalMonths"
"7136",1986,"Wholesale/Retail Trade","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",16,11,5000,"Specialist","Traditional","Local",5,3,NA,1,0,"66","68","77","79","81","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","68","77","79","81","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","wz","le","ab","m","m","m","m","m","m","m","m","m","m","m","m",18,0,"0.0",1990,1,4,48
"7138",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",2,"Business still registered",21,11,2000,"Specialist","Traditional","Local",5,NA,5,1,0,"61","64","68","73","79","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","64","68","73","79","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m",25,0,"0.0",1990,1,4,48
"7141",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",11,16,7000,"Specialist","Traditional","National",5,5,5,1,0,"63","66","73","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","66","73","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",23,0,"0.0",1990,1,4,48
"7144",1986,"Wholesale/Retail Trade","Small tradesman","Munich","Newcomer","Independent",1,"Business still registered",32,13,15000,"Specialist","Traditional","Local",5,5,5,0,0,"60","62","68","81","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","62","68","81","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ne","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",13,0,"0.0",1990,1,4,48
"7145",1986,"Construction","Small tradesman","Munich","Newcomer","Independent",1,"Business still registered",12,9,35000,"Specialist","Innovative","National",5,5,NA,1,0,"77","79","80","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","79","80","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","se","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",8,1,"1.0",1990,1,4,48
"7149",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",48,13,15000,"Specialist","Traditional","National",5,NA,5,0,0,"Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",NA,NA,NA,1990,1,4,48
"7150",1986,"Other Services","Small tradesman","Munich","Newcomer","Independent",1,"Business still registered",13,18,0,"Specialist","Innovative","National",3,3,3,1,0,"66","68","70","71","73","75","78","79","81","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","68","70","71","73","75","78","79","81","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","wz","ab","le","ab","le","ab","ab","ab","m","m","m","m","m","m","m","m",18,0,"0.0",1990,1,4,48
"7151",1986,"Wholesale/Retail Trade","Small tradesman","Upper Bavaria","Newcomer","Independent",0,"Business still registered",3,11,15000,"Specialist","Traditional","National",2,2,2,0,0,"75","77","80","81","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","77","80","81","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ne","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",10,0,"0.0",1990,1,4,48
"7152",1986,"Transportation","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",20,13,0,"Specialist","Traditional","Local",2,NA,3,1,0,"75","78","79","80","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","78","79","80","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","wz","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",10,0,"0.0",1990,1,4,48
"7155",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",2,"Business still registered",5,10,20000,"Generalist","Innovative","Local",3,4,4,1,0,"83","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",3,0,"0.0",1990,1,4,48
"7158",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",0,"Business still registered",27,13,250000,"Specialist","Innovative","National",3,5,NA,0,0,"75","77","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","77","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",11,0,"0.0",1990,1,4,48
"7159",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",9,11,3e+05,"Specialist","Traditional","National",2,3,5,1,0,"72","75","78","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","75","78","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ne","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",11,0,"0.0",1990,1,4,48
